datetime,spot_price,fcr_price,revenue_full_da,target_fcr_price,success_fcr_bid,real_power,real_market_dispatch,real_opening_capacity,real_revenue
2024-06-01 14:15:00,11.8,110.96,2.8025,46.5215799890351,False,1.0,0.2375,0.7125,2.8025
2024-06-01 14:30:00,0.0,110.96,-0.0,46.5215799890351,False,-1.0,-0.25,0.4625,-0.0
2024-06-01 14:45:00,9.4,110.96,-1.113157894736845,46.5215799890351,False,-0.473684210526317,-0.11842105263157925,0.7,-1.113157894736845
2024-06-01 15:00:00,2.6,110.96,-0.65,46.5215799890351,False,-1.0,-0.25,0.8125,-0.65
2024-06-01 15:15:00,6.4,110.96,-1.6,46.5215799890351,False,-1.0,-0.25,1.05,-1.6
2024-06-01 15:30:00,8.19,110.96,-2.0475,46.5215799890351,False,-1.0,-0.25,1.2875,-2.0475
2024-06-01 15:45:00,3.07,110.96,-0.7675,46.5215799890351,False,-1.0,-0.25,1.525,-0.7675
2024-06-01 16:00:00,-17.42,77.12,4.355,46.5215799890351,False,-1.0,-0.25,1.7625,4.355
2024-06-01 16:15:00,10.01,77.12,0.0,46.5215799890351,False,0.0,0.0,2.0,0.0
2024-06-01 16:30:00,22.56,77.12,0.0,46.5215799890351,False,0.0,0.0,2.0,0.0
2024-06-01 16:45:00,31.99,77.12,7.2177437499999995,46.5215799890351,False,0.95,0.225625,2.0,7.2177437499999995
2024-06-01 17:00:00,2.6,77.12,-0.65,46.5215799890351,False,-1.0,-0.25,1.7625,-0.65
2024-06-01 17:15:00,32.3,77.12,-1.793010184769625e-14,46.5215799890351,False,-2.22044604925031e-15,-5.551115123125775e-16,2.0,-1.793010184769625e-14
2024-06-01 17:30:00,57.0,77.12,-5.6206339496997105e-30,46.5215799890351,False,-3.94430452610506e-31,-9.86076131526265e-32,2.0,-5.6206339496997105e-30
2024-06-01 17:45:00,67.71,77.12,16.081124999999997,46.5215799890351,False,1.0,0.2375,2.0,16.081124999999997
2024-06-01 18:00:00,35.4,77.12,-8.85,46.5215799890351,False,-1.0,-0.25,1.75,-8.85
2024-06-01 18:15:00,60.9,77.12,-0.8013157894736793,46.5215799890351,False,-0.0526315789473681,-0.013157894736842025,1.9875,-0.8013157894736793
2024-06-01 18:30:00,95.9,77.12,22.77625,46.5215799890351,False,1.0,0.2375,2.0,22.77625
2024-06-01 18:45:00,100.03,77.12,23.757125,46.5215799890351,False,1.0,0.2375,1.75,23.757125
2024-06-01 19:00:00,66.7,77.12,-16.675,46.5215799890351,False,-1.0,-0.25,1.5,-16.675
2024-06-01 19:15:00,79.6,77.12,0.0,46.5215799890351,False,0.0,0.0,1.7375,0.0
2024-06-01 19:30:00,92.1,77.12,21.873749999999998,46.5215799890351,False,1.0,0.2375,1.7375,21.873749999999998
2024-06-01 19:45:00,80.27,77.12,0.0,46.5215799890351,False,0.0,0.0,1.4875,0.0
2024-06-01 20:00:00,97.47,85.12,23.149124999999998,46.5215799890351,False,1.0,0.2375,1.4875,23.149124999999998
2024-06-01 20:15:00,96.3,85.12,22.87125,46.5215799890351,False,1.0,0.2375,1.2375,22.87125
2024-06-01 20:30:00,76.4,85.12,-19.1,46.5215799890351,False,-1.0,-0.25,0.9875,-19.1
2024-06-01 20:45:00,75.09,85.12,-18.7725,46.5215799890351,False,-1.0,-0.25,1.225,-18.7725
2024-06-01 21:00:00,107.41,85.12,25.509874999999997,46.5215799890351,False,1.0,0.2375,1.4625,25.509874999999997
2024-06-01 21:15:00,91.3,85.12,21.68375,46.5215799890351,False,1.0,0.2375,1.2125,21.68375
